sub,cond,date,V1,Handling,Offer,Choice,RT,Experiment.Time,Block,HandleTime,TravelTime,condCode
058,wait,29052018,143,14,8,0,0.434550046920776,1942.38388395309,5,16,4,1
058,wait,29052018,144,14,4,0,0.351017951965332,1946.7672059536,5,16,4,1
058,wait,29052018,145,14,8,0,0.302266120910645,1951.10054111481,5,16,4,1
058,wait,29052018,146,14,8,0,0.283904075622559,1955.41652607918,5,16,4,1
058,wait,29052018,147,14,4,0,0.368146181106567,1959.81720709801,5,16,4,1
058,wait,29052018,148,14,4,0,0.218289136886597,1964.06728005409,5,16,4,1
058,wait,29052018,149,14,20,1,14.0156989097595,1982.11491298676,5,16,4,1
058,wait,29052018,150,14,20,1,14.0153980255127,2002.18154907227,5,16,4,1
058,wait,29052018,151,14,8,0,0.284408092498779,2008.51728796959,5,16,4,1
058,wait,29052018,152,14,8,0,0.284319877624512,2012.83378100395,5,16,4,1
058,wait,29052018,153,14,4,0,0.167374134063721,2017.03368210793,5,16,4,1
058,wait,29052018,154,14,8,0,0.218016147613525,2021.28388810158,5,16,4,1
058,wait,29052018,155,14,4,0,0.100816011428833,2025.4172539711,5,16,4,1
058,wait,29052018,156,14,20,1,14.015410900116,2043.46489095688,5,16,4,1
058,wait,29052018,157,14,20,1,14.0156211853027,2063.53155708313,5,16,4,1
058,wait,29052018,158,14,20,1,14.0154881477356,2083.59823703766,5,16,4,1
058,wait,29052018,159,14,8,0,0.284540891647339,2089.93400716782,5,16,4,1
058,wait,29052018,160,14,4,0,0.299169063568115,2094.26522898674,5,16,4,1
058,wait,29052018,161,14,20,1,14.0154139995575,2112.31486797333,5,16,4,1
058,wait,29052018,162,14,8,0,0.301105976104736,2118.66725516319,5,16,4,1
058,wait,29052018,163,14,4,0,0.317333936691284,2123.01682901382,5,16,4,1
058,wait,29052018,164,14,4,0,0.417317152023315,2127.4668431282,5,16,4,1
058,wait,29052018,165,14,4,0,0.584081888198853,2132.08365917206,5,16,4,1
058,wait,29052018,166,14,8,0,0.417680978775024,2136.53390002251,5,16,4,1
058,wait,29052018,167,14,20,1,14.0153610706329,2154.58155107498,5,16,4,1
058,wait,29052018,168,2,20,1,2.01568984985352,2168.89821910858,6,4,16,1
058,wait,29052018,169,2,20,1,2.01539587974548,2188.96485996246,6,4,16,1
058,wait,29052018,170,2,8,0,0.43456506729126,2207.45044898987,6,4,16,1
058,wait,29052018,171,2,8,1,2.0153169631958,2225.49812602997,6,4,16,1
058,wait,29052018,172,2,4,0,0.283978939056396,2243.83353018761,6,4,16,1
058,wait,29052018,173,2,4,0,0.351316928863525,2260.21714901924,6,4,16,1
058,wait,29052018,174,2,4,1,2.01540994644165,2278.26483798027,6,4,16,1
058,wait,29052018,175,2,8,1,2.01542496681213,2298.33149814606,6,4,16,1
058,wait,29052018,176,2,8,1,2.01517796516418,2318.39815616608,6,4,16,1
058,wait,29052018,177,2,4,0,0.301067113876343,2336.75057411194,6,4,16,1
058,wait,29052018,178,2,20,1,2.01545906066895,2354.79815912247,6,4,16,1
058,wait,29052018,179,2,20,1,2.01548981666565,2374.86483716965,6,4,16,1
058,wait,29052018,180,2,4,0,0.300945997238159,2393.21718811989,6,4,16,1
058,wait,29052018,181,2,4,0,0.284356832504272,2409.53375196457,6,4,16,1
058,wait,29052018,182,2,20,1,2.0154070854187,2427.58150005341,6,4,16,1
058,wait,29052018,183,2,8,1,2.01530885696411,2447.64817118645,6,4,16,1
058,wait,29052018,184,2,20,1,2.0154287815094,2467.71482515335,6,4,16,1
058,wait,29052018,185,2,8,1,2.01527810096741,2487.78148603439,6,4,16,1
058,wait,29052018,186,2,4,0,0.151650905609131,2505.98367500305,6,4,16,1
058,wait,29052018,187,2,20,1,2.01535701751709,2524.03144407272,6,4,16,1
058,wait,29052018,188,2,8,1,2.01538491249084,2544.09810996056,6,4,16,1
058,wait,29052018,189,2,8,1,2.01524901390076,2564.1647810936,6,4,16,1
105,cogTask,10052018,1,14,8,1,14.0166718959808,21.0715899467468,1,16,4,2
105,cogTask,10052018,2,14,20,1,14.0162169933319,41.1387119293213,1,16,4,2
105,cogTask,10052018,3,14,4,0,0.160314083099365,47.3499870300293,1,16,4,2
105,cogTask,10052018,4,14,8,1,13.999440908432,65.3893098831177,1,16,4,2
105,cogTask,10052018,5,14,20,1,13.9993760585785,85.4397709369659,1,16,4,2
105,cogTask,10052018,6,14,4,1,13.9995691776276,105.490312099457,1,16,4,2
105,cogTask,10052018,7,14,8,1,13.9993848800659,125.540742874146,1,16,4,2
105,cogTask,10052018,8,14,20,1,13.9994640350342,145.59126996994,1,16,4,2
105,cogTask,10052018,9,14,8,1,13.9996948242188,165.641759872437,1,16,4,2
105,cogTask,10052018,10,14,4,0,0.249957799911499,171.942768096924,1,16,4,2
105,cogTask,10052018,12,14,4,0,0.27295994758606,192.28297495842,1,16,4,2
105,cogTask,10052018,13,14,4,0,0.351381063461304,196.661530017853,1,16,4,2
105,cogTask,10052018,14,14,20,1,13.9994359016418,214.69292807579,1,16,4,2
105,cogTask,10052018,15,14,4,0,0.268911123275757,221.012959003448,1,16,4,2
